TrainingRecordID,EmpID,TrainingDate,TrainingProgramName,TrainingPurpose,TrainingCategory,TrainingType,DeliveryMode,LocationCode,Trainer,TrainerGender,TrainingProvider,TrainingDurationDays,TrainingCostUSD,CompletionStatus,TrainingResult,AssessmentAttempts,FeedbackSubmitted,OverallSatisfactionScore,TrainerEvaluationScore,JobRelevanceScore,PersonalRelevanceScore,DigitalContentUsabilityScore
TRN-058541,3273,2021-10-21,Technical Skills,Job Required,Technical Skills,External,Live Online,Online,Thomas Scott,Male,ProjectPro Academy,2,472.36,Completed,Passed,1.0,Yes,5,3,5,4,
TRN-058542,3596,2021-10-21,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.41,Completed,Passed,1.0,No,,,,,
TRN-058543,3839,2021-10-21,Secure Coding,Job Required,Information Security,External,Live Online,Online,Maria Young,Female,ProjectPro Academy,3,733.91,Completed,Failed,2.0,Yes,5,5,4,4,
TRN-058544,3890,2021-10-21,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.39,Completed,Passed,1.0,Yes,5,,4,4,4
TRN-058545,3924,2021-10-21,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.54,Completed,Passed,1.0,Yes,3,,3,4,4
TRN-058546,1114,2021-10-22,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.55,Completed,Passed,1.0,Yes,4,,4,2,4
TRN-058547,1233,2021-10-22,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,38.32,Completed,Passed,1.0,Yes,3,,4,4,2
TRN-058548,1400,2021-10-22,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.31,Completed,Passed,1.0,Yes,3,,4,2,3
TRN-058549,1497,2021-10-22,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.57,Completed,Passed,1.0,Yes,,,3,4,3
TRN-058550,1571,2021-10-22,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.5,Completed,Passed,1.0,Yes,4,,4,4,5
TRN-058551,1616,2021-10-22,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.47,Incomplete,Failed,1.0,Yes,5,,4,4,4
TRN-058552,1660,2021-10-22,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.64,Completed,Passed,1.0,Yes,4,,3,3,5
TRN-058553,1757,2021-10-22,Technical Skills,Job Required,Technical Skills,External,In-person,EXT-DAL-01,Claire Green,Female,CustomerFirst Training,2,942.82,Completed,Passed,1.0,Yes,4,4,3,4,
TRN-058554,2639,2021-10-22,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,37.46,Completed,Passed,2.0,Yes,4,,4,3,4
TRN-058555,2646,2021-10-22,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.16,Completed,Passed,1.0,Yes,5,,4,3,5
TRN-058556,2722,2021-10-22,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.26,Completed,Passed,1.0,Yes,3,,3,3,4
TRN-058557,2745,2021-10-22,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,35.85,Completed,Passed,2.0,No,,,,,
TRN-058558,2874,2021-10-22,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,26.78,Completed,Passed,1.0,Yes,5,,4,4,5
TRN-058559,2919,2021-10-22,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.79,Completed,Passed,1.0,Yes,4,,3,4,4
TRN-058560,3032,2021-10-22,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.31,Completed,Passed,2.0,Yes,3,,3,4,3
TRN-058561,3342,2021-10-22,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.68,Completed,Passed,1.0,Yes,5,,4,3,5
TRN-058562,3459,2021-10-22,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.43,Completed,Passed,2.0,No,,,,,
TRN-058563,3762,2021-10-22,Technical Skills,Job Required,Technical Skills,Internal,In-person,US-MA-01,Internal Trainer 12,Female,Internal L&D,2,585.64,Completed,Failed,2.0,Yes,5,4,4,4,
TRN-058564,3885,2021-10-22,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.93,Completed,Passed,3.0,Yes,5,,4,4,4
TRN-058565,3891,2021-10-22,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.5,Incomplete,Failed,1.0,No,,,,,
TRN-058566,1038,2021-10-23,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.17,Incomplete,Failed,1.0,No,,,,,
TRN-058567,1191,2021-10-23,Employee Onboarding,Mandatory,Onboarding,External,Hybrid,EXT-NYC-01,Anna Lewis,Female,Leadership Partners,2,355.52,Completed,Not Applicable,,Yes,5,4,5,3,5
TRN-058568,1910,2021-10-23,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.15,Completed,Passed,1.0,Yes,,,3,3,3
TRN-058569,2170,2021-10-23,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.26,Completed,Passed,2.0,Yes,4,,3,4,5
TRN-058570,2328,2021-10-23,Data & BI Skills,Job Required,Technical Skills,External,Hybrid,EXT-NYC-01,Peter Allen,Male,TechCore Education,2,683.2,Completed,Passed,1.0,Yes,5,4,4,4,
TRN-058571,3379,2021-10-23,Communication Skills,Employee Initiated,Professional Skills,Internal,In-person,US-MA-03,Internal Trainer 07,Male,Internal L&D,1,201.11,Completed,Not Applicable,,Yes,5,3,,4,
TRN-058572,3614,2021-10-23,Equipment Operation,Job Required,Technical Skills,Internal,In-person,US-MA-03,Internal Trainer 14,Male,Internal L&D,2,503.98,Incomplete,Failed,2.0,Yes,4,4,5,4,
TRN-058573,3618,2021-10-23,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.12,Completed,Passed,1.0,Yes,4,,5,2,4
TRN-058574,3681,2021-10-23,Technical Skills,Job Required,Technical Skills,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,138.27,Completed,Passed,1.0,Yes,4,,5,3,4
TRN-058575,3701,2021-10-23,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,35.25,Completed,Passed,3.0,Yes,4,,4,3,3
TRN-058576,3793,2021-10-23,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,37.2,Completed,Passed,1.0,Yes,3,,3,4,3
TRN-058577,1077,2021-10-24,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.06,Completed,Passed,3.0,Yes,5,,4,4,4
TRN-058578,1121,2021-10-24,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.82,Completed,Passed,1.0,Yes,4,,4,4,3
TRN-058579,1228,2021-10-24,Equipment Operation,Job Required,Technical Skills,Internal,In-person,US-MA-02,Internal Trainer 17,Male,Internal L&D,2,562.21,Cancelled,Not Taken,,No,,,,,
TRN-058580,1437,2021-10-24,Technical Skills,Job Required,Technical Skills,External,Live Online,Online,Peter Allen,Male,TechCore Education,2,453.04,Incomplete,Failed,1.0,Yes,4,5,3,4,
TRN-058581,2905,2021-10-24,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.39,Completed,Passed,1.0,Yes,5,,4,2,5
TRN-058582,2926,2021-10-24,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.79,Incomplete,Failed,1.0,Yes,3,,2,4,4
TRN-058583,2957,2021-10-24,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,36.4,Completed,Passed,1.0,Yes,3,,4,3,3
TRN-058584,1013,2021-10-25,Secure Coding,Job Required,Information Security,Internal,Live Online,Online,Internal Trainer 07,Male,Internal L&D,2,279.67,Completed,Passed,1.0,No,,,,,
TRN-058585,1177,2021-10-25,Equipment Operation,Job Required,Technical Skills,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,130.93,Incomplete,Not Taken,0.0,Yes,5,,5,2,5
TRN-058586,1197,2021-10-25,Technical Skills,Job Required,Technical Skills,Internal,Live Online,Online,Internal Trainer 01,Male,Internal L&D,2,284.07,Completed,Passed,1.0,Yes,5,4,5,4,
TRN-058587,1365,2021-10-25,Customer Service,Job Required,Customer Skills,Internal,Live Online,Online,Internal Trainer 06,Female,Internal L&D,1,97.66,Completed,Not Applicable,,No,,,,,
TRN-058588,1532,2021-10-25,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.74,Completed,Passed,1.0,Yes,5,,,3,4
TRN-058589,1571,2021-10-25,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.78,Completed,Passed,1.0,Yes,4,,4,4,3
TRN-058590,1615,2021-10-25,Technical Skills,Job Required,Technical Skills,Internal,In-person,US-MA-02,Internal Trainer 16,Male,Internal L&D,2,497.17,Completed,Passed,2.0,Yes,5,5,4,3,
TRN-058591,1946,2021-10-25,Equipment Operation,Job Required,Technical Skills,External,In-person,EXT-NYC-01,Helen Ward,Female,SafeWorks Institute,2,886.67,Completed,Passed,1.0,Yes,4,4,4,3,
TRN-058592,2145,2021-10-25,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.81,Completed,Passed,2.0,Yes,4,,3,3,3
TRN-058593,2281,2021-10-25,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.44,Incomplete,Failed,1.0,No,,,,,
TRN-058594,2782,2021-10-25,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,35.0,Completed,Passed,1.0,Yes,3,,2,4,4
TRN-058595,3102,2021-10-25,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,26.56,Incomplete,Failed,1.0,Yes,4,,4,2,5
TRN-058596,3131,2021-10-25,Equipment Operation,Job Required,Technical Skills,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,126.2,Completed,Passed,2.0,No,,,,,
TRN-058597,3190,2021-10-25,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.95,Completed,Passed,2.0,Yes,5,,4,4,5
TRN-058598,3223,2021-10-25,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.45,Incomplete,Not Taken,0.0,No,,,,,
TRN-058599,3612,2021-10-25,Equipment Operation,Job Required,Technical Skills,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,121.96,Completed,Passed,1.0,Yes,5,,4,4,3
TRN-058600,3737,2021-10-25,Technical Skills,Job Required,Technical Skills,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,136.44,Incomplete,Failed,3.0,Yes,4,,4,4,5
TRN-058601,3785,2021-10-25,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.02,Completed,Passed,2.0,No,,,,,
TRN-058602,1185,2021-10-26,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,37.43,Completed,Passed,1.0,No,,,,,
TRN-058603,1187,2021-10-26,Leadership Development,Job Required,Leadership Development,Internal,In-person,US-MA-03,Internal Trainer 05,Male,Internal L&D,2,591.48,Completed,Not Applicable,,Yes,5,4,4,3,
TRN-058604,1200,2021-10-26,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.05,Completed,Passed,1.0,Yes,3,,4,3,3
TRN-058605,1540,2021-10-26,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.81,Completed,Passed,2.0,Yes,4,,3,3,5
TRN-058606,1627,2021-10-26,Data & BI Skills,Job Required,Technical Skills,Internal,Hybrid,US-MA-02,Internal Trainer 07,Male,Internal L&D,2,470.68,Completed,Passed,1.0,Yes,4,4,4,4,4
TRN-058607,1808,2021-10-26,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,35.78,Completed,Passed,2.0,Yes,4,,4,,3
TRN-058608,1820,2021-10-26,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.82,Completed,Passed,1.0,No,,,,,
TRN-058609,1974,2021-10-26,Quality Management,Job Required,Operational Excellence,Internal,In-person,US-MA-03,Internal Trainer 11,Male,Internal L&D,2,468.4,Completed,Not Applicable,,Yes,3,4,4,4,
TRN-058610,2750,2021-10-26,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.59,Incomplete,Failed,1.0,No,,,,,
TRN-058611,2983,2021-10-26,Technical Skills,Job Required,Technical Skills,Internal,In-person,US-MA-03,Internal Trainer 13,Male,Internal L&D,2,501.55,Completed,Passed,3.0,Yes,4,5,5,4,
TRN-058612,3015,2021-10-26,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.4,Incomplete,Not Taken,0.0,No,,,,,
TRN-058613,3039,2021-10-26,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.51,Completed,Failed,1.0,No,,,,,
TRN-058614,3266,2021-10-26,Technical Skills,Job Required,Technical Skills,External,Hybrid,EXT-BOS-01,Emma Reed,Female,NorthStar Learning,2,624.24,Incomplete,Failed,2.0,No,,,,,
TRN-058615,3286,2021-10-26,Equipment Operation,Job Required,Technical Skills,Internal,In-person,US-MA-03,Internal Trainer 09,Female,Internal L&D,2,580.07,Completed,Passed,1.0,Yes,5,4,5,4,
TRN-058616,3326,2021-10-26,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.25,Completed,Passed,1.0,Yes,4,,4,3,4
TRN-058617,3836,2021-10-26,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.26,Completed,Passed,1.0,Yes,3,,3,5,3
TRN-058618,3924,2021-10-26,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,37.88,Completed,Failed,2.0,Yes,,,4,2,4
TRN-058619,1030,2021-10-27,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.62,Completed,Passed,1.0,Yes,4,,4,3,4
TRN-058620,1093,2021-10-27,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.67,Completed,Passed,1.0,Yes,4,,4,3,4
TRN-058621,1298,2021-10-27,Technical Skills,Job Required,Technical Skills,Internal,In-person,US-MA-03,Internal Trainer 17,Male,Internal L&D,2,518.58,Completed,Passed,2.0,Yes,4,3,4,4,
TRN-058622,1900,2021-10-27,Quality Management,Job Required,Operational Excellence,Internal,In-person,US-MA-03,Internal Trainer 08,Male,Internal L&D,2,434.04,Completed,Not Applicable,,Yes,5,4,5,4,
TRN-058623,1973,2021-10-27,Communication Skills,Job Required,Professional Skills,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,45.23,Completed,Not Applicable,,No,,,,,
TRN-058624,2118,2021-10-27,Equipment Operation,Job Required,Technical Skills,Internal,In-person,US-MA-03,Internal Trainer 03,Female,Internal L&D,3,834.7,Completed,Passed,1.0,Yes,4,4,5,5,
TRN-058625,2578,2021-10-27,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,37.92,Completed,Passed,1.0,Yes,3,,4,2,4
TRN-058626,2737,2021-10-27,Leadership Development,Job Required,Leadership Development,External,In-person,EXT-NYC-01,Michael Chen,Male,DataCraft Academy,2,876.87,Completed,Not Applicable,,Yes,4,5,4,2,
TRN-058627,2845,2021-10-27,Quality Management,Job Required,Operational Excellence,External,In-person,EXT-NYC-01,Helen Ward,Female,SafeWorks Institute,2,764.99,Completed,Not Applicable,,Yes,4,3,5,2,
TRN-058628,3010,2021-10-27,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.18,Completed,Passed,1.0,Yes,5,,4,4,5
TRN-058629,3018,2021-10-27,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.24,Completed,Passed,1.0,No,,,,,
TRN-058630,3239,2021-10-27,Communication Skills,Job Required,Professional Skills,Internal,In-person,US-MA-01,Internal Trainer 11,Male,Internal L&D,1,173.0,Completed,Not Applicable,,Yes,5,5,4,4,
TRN-058631,3668,2021-10-27,Employee Onboarding,Mandatory,Onboarding,Internal,In-person,US-MA-03,Internal Trainer 05,Male,Internal L&D,2,280.19,Completed,Not Applicable,,Yes,5,4,5,3,
TRN-058632,3769,2021-10-27,Technical Skills,Job Required,Technical Skills,Internal,In-person,US-MA-02,Internal Trainer 15,Female,Internal L&D,2,579.89,Completed,Passed,1.0,Yes,4,4,5,4,
TRN-058633,3783,2021-10-27,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.89,Completed,Passed,1.0,Yes,5,,4,4,4
TRN-058634,3795,2021-10-27,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.59,Completed,Passed,1.0,No,,,,,
TRN-058635,3913,2021-10-27,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.01,Completed,Passed,2.0,Yes,5,,4,3,4
TRN-058636,3945,2021-10-27,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.94,Completed,Passed,2.0,Yes,5,,4,2,4
TRN-058637,1108,2021-10-28,Technical Skills,Job Required,Technical Skills,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,119.22,Incomplete,Not Taken,0.0,Yes,4,,4,4,4
TRN-058638,1233,2021-10-28,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.56,Completed,Passed,2.0,Yes,3,,3,3,3
TRN-058639,1303,2021-10-28,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,35.66,Completed,Failed,1.0,Yes,3,,5,2,2
TRN-058640,1556,2021-10-28,Equipment Operation,Job Required,Technical Skills,External,In-person,EXT-CHI-01,Laura Hill,Female,DataCraft Academy,2,736.01,Completed,Passed,1.0,No,,,,,
TRN-058641,1632,2021-10-28,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.87,Completed,Failed,1.0,Yes,5,,3,3,5
TRN-058642,1670,2021-10-28,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.27,Completed,Failed,1.0,Yes,3,,3,4,3
TRN-058643,2013,2021-10-28,Quality Management,Job Required,Operational Excellence,External,In-person,EXT-NYC-01,Robert King,Male,SafeWorks Institute,2,704.43,Completed,Not Applicable,,Yes,3,5,3,4,
TRN-058644,2277,2021-10-28,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.82,Completed,Passed,2.0,Yes,5,,3,4,5
TRN-058645,2298,2021-10-28,Leadership Development,Job Required,Leadership Development,External,In-person,EXT-BOS-01,Laura Hill,Female,DataCraft Academy,2,971.12,Completed,Not Applicable,,Yes,4,3,4,4,
TRN-058646,2386,2021-10-28,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,25.44,Completed,Passed,1.0,Yes,3,,3,3,4
TRN-058647,2508,2021-10-28,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.2,Incomplete,Failed,3.0,No,,,,,
TRN-058648,2637,2021-10-28,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,25.62,Completed,Passed,1.0,Yes,4,,,3,5
TRN-058649,2718,2021-10-28,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.14,Completed,Passed,1.0,Yes,4,,,4,4
TRN-058650,2774,2021-10-28,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,26.61,Incomplete,Failed,1.0,No,,,,,
TRN-058651,3010,2021-10-28,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.57,Completed,Passed,2.0,Yes,5,,3,3,5
TRN-058652,3384,2021-10-28,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.58,Completed,Passed,2.0,Yes,5,,4,2,4
TRN-058653,3419,2021-10-28,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.76,Completed,Passed,1.0,Yes,5,,3,3,4
TRN-058654,3514,2021-10-28,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.99,Completed,Passed,1.0,Yes,3,,3,3,4
TRN-058655,3853,2021-10-28,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.96,Completed,Failed,1.0,Yes,4,,3,2,5
TRN-058656,1055,2021-10-29,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.74,Completed,Failed,3.0,Yes,3,,3,4,4
TRN-058657,1055,2021-10-29,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,37.6,Incomplete,Not Taken,0.0,No,,,,,
TRN-058658,1056,2021-10-29,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.25,Incomplete,Failed,1.0,Yes,2,,4,2,5
TRN-058659,1131,2021-10-29,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,26.28,Completed,Passed,1.0,No,,,,,
TRN-058660,1176,2021-10-29,Quality Management,Job Required,Operational Excellence,Internal,Hybrid,US-MA-01,Internal Trainer 16,Male,Internal L&D,2,351.91,Completed,Not Applicable,,Yes,4,5,5,4,
TRN-058661,1209,2021-10-29,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.73,Completed,Passed,1.0,Yes,3,,4,5,3
TRN-058662,1271,2021-10-29,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.41,Completed,Passed,1.0,Yes,4,,4,3,5
TRN-058663,1378,2021-10-29,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.67,Incomplete,Not Taken,0.0,No,,,,,
TRN-058664,1449,2021-10-29,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,25.2,Completed,Passed,1.0,Yes,5,,4,3,4
TRN-058665,1660,2021-10-29,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.64,Completed,Passed,1.0,Yes,5,,3,3,5
TRN-058666,2036,2021-10-29,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.83,Completed,Failed,2.0,Yes,2,,4,3,2
TRN-058667,2072,2021-10-29,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.83,Completed,Passed,1.0,Yes,3,,3,3,4
TRN-058668,2119,2021-10-29,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,36.92,Incomplete,Failed,1.0,No,,,,,
TRN-058669,2180,2021-10-29,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.8,Completed,Passed,1.0,No,,,,,
TRN-058670,2207,2021-10-29,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.53,Completed,Passed,1.0,Yes,3,,3,2,5
TRN-058671,2251,2021-10-29,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.71,Completed,Passed,2.0,Yes,5,,4,3,5
TRN-058672,2274,2021-10-29,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.13,Completed,Failed,1.0,Yes,3,,4,4,4
TRN-058673,2511,2021-10-29,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.85,Incomplete,Not Taken,0.0,Yes,5,,2,4,5
TRN-058674,2598,2021-10-29,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.14,Completed,Passed,1.0,Yes,5,,3,4,4
TRN-058675,2709,2021-10-29,Employee Onboarding,Mandatory,Onboarding,Internal,In-person,US-ID-01,Internal Trainer 01,Male,Internal L&D,2,301.24,Incomplete,Not Applicable,,Yes,4,5,3,2,
TRN-058676,2729,2021-10-29,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.8,Completed,Passed,2.0,Yes,5,,4,4,5
TRN-058677,3222,2021-10-29,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.39,Completed,Failed,2.0,No,,,,,
TRN-058678,3224,2021-10-29,Quality Management,Job Required,Operational Excellence,Internal,In-person,US-MA-01,Internal Trainer 02,Male,Internal L&D,2,426.32,Completed,Not Applicable,,Yes,4,4,3,4,
TRN-058679,3243,2021-10-29,Quality Management,Job Required,Operational Excellence,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,121.74,Completed,Not Applicable,,Yes,5,,5,4,4
TRN-058680,3387,2021-10-29,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.72,Completed,Passed,2.0,Yes,1,,3,,3
TRN-058681,3393,2021-10-29,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,35.72,Completed,Passed,2.0,Yes,4,,5,3,2
TRN-058682,3423,2021-10-29,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,39.09,Completed,Passed,1.0,Yes,4,,5,3,4
